HU number,Shipping Point,Packed Quantity,Material,Packaging Materials,Length,Width,Height,Total Volume
LELMECB40065017788E,CND7,7,RNT44737/01,EAB-ZPACK,0.6,0.8,0.46,0.221
LELMECB40065017788E,CND7,7,SEF901377/4,EAB-ZPACK,0.6,0.8,0.46,0.221
LELMECB40065017788E,CND7,7,SEF901376/0535,EAB-ZPACK,0.6,0.8,0.46,0.221
LELMECB40065003316E,CND7,3,NGC90145,RTK193170/10,0.188,0.096,0.148,0.003
LELMECB40064635976E,CND7,2,RPM777096/00115,RTK193170/6,0.288,0.188,0.148,0.008
LELMECB40065003668E,CND7,6,RPM777382/05000,RTK193170/5,0.396,0.298,0.164,0.019
LELMECB40064998156E,CND7,12,RDH10265/25,RTK193170/10,0.188,0.096,0.148,0.003
LELMECB40065070844E,CND7,1,KRC161487/1,RTK293284/2,0.285,0.254,0.1,0.007
LELMECB40064998101E,CND7,7,KRY901474/2,RTK21717/441,1.2,0.8,0.45,0.432
LELMECB40064998101E,CND7,7,RPM1192060/5,RTK21717/441,1.2,0.8,0.45,0.432
LELMECB40064998101E,CND7,7,SEF901377/4,RTK21717/441,1.2,0.8,0.45,0.432
LELMECB40064998101E,CND7,7,RDH10265/1,RTK21717/441,1.2,0.8,0.45,0.432
LELMECB40064998101E,CND7,7,RPM777045/03000,RTK21717/441,1.2,0.8,0.45,0.432
LELMECB40064595058E,CND7,5,RDH10265/25,RTK193170/10,0.188,0.096,0.148,0.003
LELMECB40065003279E,CND7,1,NGC90145,RTK193170/10,0.188,0.096,0.148,0.003
LELMECB40064594167E,CND7,1,RPM777382/05000,RTK193170/5,0.396,0.298,0.164,0.019
LELMECB40064616265E,CND7,2,KRE1012595/2,RTK193170/5,0.396,0.298,0.164,0.019
LELMECB40064969651E,CND7,1,RPM1192060/5,RTK193170/2,0.596,0.396,0.328,0.077
LELMECB40064969651E,CND7,1,SEF901377/4,RTK193170/2,0.596,0.396,0.328,0.077
LELMECB40064969651E,CND7,1,RDH10265/1,RTK193170/2,0.596,0.396,0.328,0.077
LELMECB40064969651E,CND7,1,SEF901376/0214,RTK193170/2,0.596,0.396,0.328,0.077
LELMECB40064969651E,CND7,1,RPM777045/03000,RTK193170/2,0.596,0.396,0.328,0.077
LELMECB40064630636E,CND7,64,SEF901376/0535,RTK21717/591,1.2,0.8,0.6,0.576
LELMECB40064631206E,CND7,64,SEF901376/0535,RTK21717/591,1.2,0.8,0.6,0.576
LELMECB40064632234E,CND7,64,SEF901376/0535,RTK21717/591,1.2,0.8,0.6,0.576
LELMECB40064632272E,CND7,47,SEF901376/0535,RTK21717/591,1.2,0.8,0.6,0.576
LELMECB40064589262E,CND7,1,RPM777382/05000,RTK193170/5,0.396,0.298,0.164,0.019
LELMECB40064545510E,CND7,3,RDH10265/3,RTK193170/2,0.596,0.396,0.328,0.077
LELMECB40064545510E,CND7,3,RDH10265/25,RTK193170/2,0.596,0.396,0.328,0.077
LELMECB40064545510E,CND7,3,RNT44737/01,RTK193170/2,0.596,0.396,0.328,0.077
LELMECB40064545510E,CND7,3,SEF901377/4,RTK193170/2,0.596,0.396,0.328,0.077
LELMECB40064545510E,CND7,3,SEF901376/0535,RTK193170/2,0.596,0.396,0.328,0.077
LELMECB40064545510E,CND7,3,RPM2531610/10M,RTK193170/2,0.596,0.396,0.328,0.077
LELMECB40064588654E,CND7,1,NCD90178/1,RTK193170/6,0.288,0.188,0.148,0.008
LELMECB40064588654E,CND7,1,RPM777096/00115,RTK193170/6,0.288,0.188,0.148,0.008
LELMECB40064588654E,CND7,1,RPM777755/01500,RTK193170/6,0.288,0.188,0.148,0.008
LELMECB40064590190E,CND7,18,RDH10265/3,RTK193170/6,0.288,0.188,0.148,0.008
LELMECB40064590190E,CND7,18,RDH10265/25,RTK193170/6,0.288,0.188,0.148,0.008
LELMECB40064588234E,CND7,19,NCD90178/1,RTK193170/5,0.396,0.298,0.164,0.019
LELMECB40064588234E,CND7,19,RPM777755/01500,RTK193170/5,0.396,0.298,0.164,0.019
LELMECB40064588234E,CND7,19,RPM777096/00115,RTK193170/5,0.396,0.298,0.164,0.019
LELMECB40065007826E,CND7,10,RDH10265/3,EAB-ZPACK,0.8,0.6,0.46,0.221
LELMECB40065007826E,CND7,10,RDH10265/25,EAB-ZPACK,0.8,0.6,0.46,0.221
LELMECB40065007826E,CND7,10,RNT44737/01,EAB-ZPACK,0.8,0.6,0.46,0.221
LELMECB40065007826E,CND7,10,SEF901377/4,EAB-ZPACK,0.8,0.6,0.46,0.221
